MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE935025493622;WP Kurzen Trechow - KNE 6;In Betrieb;11.12.2015;28.01.2021;Wind;3050;3050;18246;Kurzen Trechow;WP Kurzen Trechow GmbH;ABR958528227020;28.01.2025
SEE948411508091;WP Kurzen Trechow - KNE 4;In Betrieb;30.12.2015;28.01.2021;Wind;3050;3050;18246;Kurzen Trechow;WP Kurzen Trechow GmbH;ABR958528227020;28.01.2025
SEE907477006453;CRA-I-01-50908;In Betrieb;30.12.1998;28.01.2021;Wind;600;600;19071;Cramonshagen;wind 7 Service GmbH;ABR910156570596;28.01.2021
SEE908933867632;CRA-I-02-50909;In Betrieb;30.12.1998;28.01.2021;Wind;600;600;19071;Cramonshagen;wind 7 Service GmbH;ABR910156570596;28.01.2021
SEE957342281324;Windrad;In Betrieb;20.12.1996;28.01.2021;Wind;225;225;18059;Ziesendorf;(natürliche Person);ABR900654179193;09.02.2023
SEE910776797762;CRA-I-03-50910;In Betrieb;30.12.1998;28.01.2021;Wind;600;600;19071;Cramonshagen;wind 7 Service GmbH;ABR910156570596;29.01.2021
SEE936524680872;Anlage 59;In Betrieb;22.06.2000;28.01.2021;Wind;600;600;17321;Bergholz;SAGA Energy GmbH & Co. KG.;ABR949449196489;02.05.2024
SEE937169585461;Anlage 60;In Betrieb;21.06.2000;27.01.2021;Wind;600;600;17321;Bergholz;SAGA Energy GmbH & Co. KG.;ABR949449196489;13.01.2023
SEE904409878539;WKA Ventschow;In Betrieb;03.04.1996;27.01.2021;Wind;500;500;19417;Ventschow;Walter Huning-Wesseler;ABR906713779984;28.09.2021
SEE904592847602;114016;In Betrieb;30.12.2016;27.01.2021;Wind;3500;3500;19395;Barkhagen;Norddeutsche Energie WP Plauerhagen 2 GmbH & Co. KG;ABR900505321085;11.11.2024
SEE999850676117;114017;In Betrieb;28.02.2017;27.01.2021;Wind;3500;3500;19395;Barkhagen;Norddeutsche Energie WP Plauerhagen 2 GmbH & Co. KG;ABR900505321085;11.11.2024
SEE955841540157;114018;In Betrieb;28.02.2017;27.01.2021;Wind;3500;3500;19395;Barkhagen;Norddeutsche Energie WP Plauerhagen 2 GmbH & Co. KG;ABR900505321085;11.11.2024
SEE968680230158;114019;In Betrieb;30.04.2017;27.01.2021;Wind;3500;3500;19395;Barkhagen;Norddeutsche Energie WP Plauerhagen 2 GmbH & Co. KG;ABR900505321085;05.02.2025
SEE968850422062;114020;In Betrieb;18.05.2017;27.01.2021;Wind;3500;3500;19395;Barkhagen;Norddeutsche Energie WP Plauerhagen 2 GmbH & Co. KG;ABR900505321085;05.02.2025
SEE964070242688;114021;In Betrieb;30.06.2017;27.01.2021;Wind;3500;3500;19395;Barkhagen;Norddeutsche Energie WP Plauerhagen 2 GmbH & Co. KG;ABR900505321085;11.11.2024
SEE960467909141;WP Rostock WEA 1 (1074-01);In Planung;;27.01.2021;Wind;3000;3000;18198;Kritzmow;Energiequelle GmbH;ABR957301131660;04.09.2025
SEE925252815489;WP Rostock WEA 2 (1074-02);In Planung;;27.01.2021;Wind;3000;3000;18198;Kritzmow;Energiequelle GmbH;ABR957301131660;04.09.2025
SEE903659096076;Damm WEA  1;In Betrieb;22.06.2005;27.01.2021;Wind;1500;1500;18196;Dummerstorf;Dammer Windkraft 2 GmbH & Co. KG;ABR930458677199;08.06.2021
SEE951233399839;Damm WEA  2;In Betrieb;22.06.2005;27.01.2021;Wind;1500;1500;18196;Dummerstorf;Dammer Windkraft 2 GmbH & Co. KG;ABR930458677199;08.06.2021
SEE972611505109;70537;In Betrieb;01.01.2006;26.01.2021;Wind;1500;1500;23974;Hornstorf;Windkraftkontor Ost GmbH & Co. KG;ABR976598454580;09.04.2021
SEE981449246696;Windpark Zempow;In Betrieb;07.10.2002;26.01.2021;Wind;600;600;17252;Schwarz;Windpark Goedde-Menke GmbH u. Co.KG;ABR959143009503;13.01.2025
SEE919400796089;WEA Engelswacht;In Betrieb;01.10.2007;26.01.2021;Wind;2000;2000;18519;Sundhagen;Windpark Miltzow GmbH & Co Reinkenhagen KG;ABR997395031484;30.12.2024
SEE977991857503;Reinkenhagen M09;In Betrieb;29.02.2016;26.01.2021;Wind;3075;3075;18519;Sundhagen;Windpark Miltzow GmbH & Co Reinkenhagen KG;ABR997395031484;24.02.2025
SEE906386786432;Po 07_70615;In Betrieb;27.05.2002;26.01.2021;Wind;1800;1800;17391;Postlow;Regema GmbH;ABR991664935114;24.03.2021
SEE914353841534;44518;In Betrieb;15.02.2012;26.01.2021;Wind;2000;2000;18519;Sundhagen;Umspannwerk Miltzow/Mannhagen GbR;ABR969427026430;31.08.2021
SEE907847682584;WEA 70023 Upahl;In Betrieb;17.05.2001;26.01.2021;Wind;1500;1500;23936;Upahl;(natürliche Person);ABR995544138831;04.02.2021
SEE920287996950;WP Gischow, WK 44625;In Betrieb;08.01.2001;26.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;22.03.2021
SEE903317777163;WP Gischow, WK 44636;In Betrieb;21.12.2000;26.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;22.01.2024
SEE901092832695;WP Gischow, WK 44637;In Betrieb;21.05.2001;26.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;22.03.2021
SEE954610838631;WP Gischow, WK 44638;In Betrieb;22.05.2001;26.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;22.03.2021
SEE954082236249;WP Gischow, WK 44639;In Betrieb;28.05.2001;26.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;22.03.2021
SEE960114894363;70536;In Betrieb;01.01.2006;26.01.2021;Wind;1500;1500;23974;Hornstorf;Windkraftkontor Ost GmbH & Co. KG;ABR976598454580;09.04.2021
SEE940080197194;WEA 9;In Betrieb;20.12.2001;26.01.2021;Wind;1500;1500;17392;Neuenkirchen;Redmann und Hanfler Projekt und Beteiligungs GbR;ABR961453790026;06.10.2022
SEE919714646179;66127;In Betrieb;28.12.1998;26.01.2021;Wind;1500;1500;17390;Klein Bünzow;Redmann & Hanfler Bürgerwindpark Klein Bünzow OHG;ABR926972464650;26.01.2021
SEE982515495352;66128;In Betrieb;23.12.1998;26.01.2021;Wind;1500;1500;17390;Klein Bünzow;Redmann & Hanfler Bürgerwindpark Klein Bünzow OHG;ABR926972464650;18.03.2021
SEE997173488424;66129;In Betrieb;23.12.1998;26.01.2021;Wind;1500;1500;17390;Klein Bünzow;Redmann & Hanfler Bürgerwindpark Klein Bünzow OHG;ABR926972464650;23.03.2021
SEE966265157333;66130;In Betrieb;30.12.1998;26.01.2021;Wind;1500;1500;17390;Klein Bünzow;Redmann & Hanfler Bürgerwindpark Klein Bünzow OHG;ABR926972464650;22.03.2021
SEE927206994851;66131;In Betrieb;18.02.1999;26.01.2021;Wind;1500;1500;17390;Klein Bünzow;Redmann & Hanfler Bürgerwindpark Klein Bünzow OHG;ABR926972464650;22.03.2021
SEE924265686109;66132;In Betrieb;19.02.1999;26.01.2021;Wind;1500;1500;17390;Klein Bünzow;Redmann & Hanfler Bürgerwindpark Klein Bünzow OHG;ABR926972464650;22.03.2021
SEE969997931578;66133;In Betrieb;15.02.1999;26.01.2021;Wind;1500;1500;17390;Klein Bünzow;Redmann & Hanfler Bürgerwindpark Klein Bünzow OHG;ABR926972464650;22.03.2021
SEE911080184002;702038;In Betrieb;19.08.2004;26.01.2021;Wind;2000;2000;17390;Klein Bünzow;Redmann & Hanfler Bürgerwindpark Klein Bünzow OHG;ABR926972464650;25.03.2021
SEE941848219738;56095;In Betrieb;22.06.2004;25.01.2021;Wind;1050;1050;19205;Gadebusch;Windpark Gadebusch A/S dänischen Rechts & Co. KG;ABR903847604397;19.07.2021
SEE928900208831;56093;In Betrieb;17.06.2004;25.01.2021;Wind;1050;1050;19205;Gadebusch;Windpark Gadebusch A/S dänischen Rechts & Co. KG;ABR903847604397;19.07.2021
SEE975062259317;56094;In Betrieb;23.06.2004;25.01.2021;Wind;1050;1050;19205;Gadebusch;Windpark Gadebusch A/S dänischen Rechts & Co. KG;ABR903847604397;19.07.2021
SEE931824869811;56092;In Betrieb;18.06.2004;25.01.2021;Wind;1050;1050;19205;Gadebusch;Windpark Gadebusch A/S dänischen Rechts & Co. KG;ABR903847604397;19.07.2021
SEE989003541256;WP Lutheran, WK 441521;In Betrieb;19.12.2002;25.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;05.04.2024
SEE985793950988;WP Lutheran, WK 441522;In Betrieb;19.12.2002;25.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;25.06.2024
SEE937349592852;WP Lutheran, WK 441523;In Betrieb;19.12.2002;25.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;18.03.2024
SEE917230655781;WP Lutheran, WK 441524;In Betrieb;19.12.2002;25.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;18.03.2024
SEE998310735104;WP Lutheran, WK 441525;In Betrieb;19.12.2002;25.01.2021;Wind;600;600;19386;Lübz;(natürliche Person);ABR982608052424;18.03.2024
SEE958150033501;WP Grebbin, WK 826014;In Betrieb;24.09.2014;25.01.2021;Wind;2000;2000;19374;Obere Warnow;(natürliche Person);ABR982608052424;25.01.2021
SEE976775708901;WP Grebbin, WK 826013;In Betrieb;06.10.2014;25.01.2021;Wind;2000;2000;19374;Obere Warnow;(natürliche Person);ABR982608052424;25.01.2021
SEE975880809541;WP GroßNiendorf, WK 41812;In Betrieb;30.12.1999;22.01.2021;Wind;500;500;19374;Groß Niendorf;(natürliche Person);ABR982608052424;18.04.2023
SEE994471317067;WEA Stuthof 1;In Betrieb;17.05.1995;22.01.2021;Wind;500;500;18146;Rostock;Sonnenexpert Invest GmbH & Co. KG;ABR932144114216;22.01.2021
SEE995604734348;56096;In Betrieb;24.06.2004;22.01.2021;Wind;1050;1050;19205;Gadebusch;Windpark Gadebusch A/S dänischen Rechts & Co. KG;ABR903847604397;19.07.2021
SEE947351293425;WP GroßNiendorf WK 41813;In Betrieb;30.12.1999;22.01.2021;Wind;500;500;19374;Groß Niendorf;(natürliche Person);ABR982608052424;03.11.2021
SEE996892209365;Windpark Schönberg;In Betrieb;04.11.2004;22.01.2021;Wind;2000;2000;23923;Schönberg;EnerVest Windpark Schönberg;ABR958862400547;22.01.2021
SEE913234891330;WEA Stuthof 2;In Betrieb;17.05.1995;22.01.2021;Wind;500;500;18146;Rostock;Sonnenexpert Invest GmbH & Co. KG;ABR932144114216;22.01.2021
SEE987874663367;WEA Stuthof 3;In Betrieb;17.05.1995;22.01.2021;Wind;500;500;18146;Rostock;Sonnenexpert Invest GmbH & Co. KG;ABR932144114216;22.01.2021
SEE997357775081;WEA Stuthof 4;In Betrieb;17.05.1995;22.01.2021;Wind;500;500;18146;Rostock;Sonnenexpert Invest GmbH & Co. KG;ABR932144114216;22.01.2021
SEE980381531549;WEA Stuthof 5;Vorübergehend stillgelegt;17.05.1995;22.01.2021;Wind;500;500;18146;Rostock;Sonnenexpert Invest GmbH & Co. KG;ABR932144114216;15.12.2022
SEE923709137191;eno126026 - WEA14;In Betrieb;21.01.2021;21.01.2021;Wind;4000;4000;19395;Barkhagen;Norddeutsche Energie WP Plauerhagen III GmbH & Co. KG;ABR975881627724;11.11.2024
SEE995213796119;EE GB 42 KG;In Betrieb;12.02.2016;21.01.2021;Wind;3075;3075;18516;Süderholz;Erneuerbare Energien Groß Bisdorf GmbH;ABR928694879101;25.03.2025
SEE935457827538;EE GB 52 KG;In Betrieb;25.02.2016;21.01.2021;Wind;3075;3075;18516;Süderholz;Erneuerbare Energien Groß Bisdorf GmbH;ABR928694879101;30.12.2024
SEE997630543642;Groß Bisdorf D1;In Betrieb;06.09.2016;21.01.2021;Wind;3300;3300;17498;Dersekow;Infrastrukturgemeinschaft Groß Bisdorf GbR;ABR958139441334;30.12.2024
SEE954843626951;Groß Bisdorf D2;In Betrieb;22.03.2016;21.01.2021;Wind;3075;3075;17498;Dersekow;Infrastrukturgemeinschaft Groß Bisdorf GbR;ABR958139441334;30.12.2024
SEE995807384203;NTK 300 (93-308);In Betrieb;19.04.1993;20.01.2021;Wind;300;300;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;08.06.2021
SEE905731828544;NTK 300 (93-309);In Betrieb;19.04.1993;20.01.2021;Wind;300;300;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;08.06.2021
SEE957516376924;NTK 300 (93-310);In Betrieb;19.04.1993;20.01.2021;Wind;300;300;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;10.06.2021
SEE991345836730;NTK 300 (93-311);In Betrieb;19.04.1993;20.01.2021;Wind;300;300;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;07.03.2022
SEE931473618600;NTK 500 (V64234);In Betrieb;19.05.1999;20.01.2021;Wind;500;500;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;22.02.2021
SEE906893120132;Lübesse WEA 10 S-70;In Betrieb;03.11.2000;20.01.2021;Wind;1500;1500;19077;Lübesse;VR-Windpark Milow GmbH & Co. KG;ABR969851698807;20.01.2021
SEE975809151447;Lübesse WEA 11 S-70;In Betrieb;03.11.2000;20.01.2021;Wind;1500;1500;19077;Lübesse;VR-Windpark Milow GmbH & Co. KG;ABR969851698807;20.01.2021
SEE945626109648;Windpark Passow III;In Betrieb;01.12.2006;19.01.2021;Wind;1500;1500;19205;Passow;Windenergie Management GmbH & Co. 3 Windpark KG;ABR914318924630;19.01.2021
SEE990605007064;WKA16;In Betrieb;14.10.2015;19.01.2021;Wind;3300;3300;19370;Parchim;UGE Parchim Vier GmbH & Co. KG Umweltgerechte Energie;ABR974822512884;04.12.2024
SEE996594358309;WKA17;In Betrieb;29.09.2015;19.01.2021;Wind;3300;3300;19370;Parchim;UGE Parchim Vier GmbH & Co. KG Umweltgerechte Energie;ABR974822512884;04.12.2024
SEE911088980439;NTK 500 (94565);In Betrieb;29.12.1994;19.01.2021;Wind;500;500;17509;Wusterhusen;Windkraft Köpnick & Partner oHG;ABR906556507195;19.04.2021
SEE990351681501;Krackow-1;In Betrieb;11.12.2013;19.01.2021;Wind;3000;3000;17329;Krackow;Windkraftanlage Krackow GmbH & Co. KG;ABR996210330269;14.06.2022
SEE955315396716;NTK500 (96546);In Betrieb;22.05.1996;19.01.2021;Wind;500;500;17495;Karlsburg;WINDKRAFT Scheer & Partner OHG;ABR999257272387;19.01.2021
SEE962341357765;NTK500 (96547);In Betrieb;23.05.1996;19.01.2021;Wind;500;500;17495;Karlsburg;WINDKRAFT Scheer & Partner OHG;ABR999257272387;15.02.2021
SEE993543314966;Klein Bünzow  1;In Betrieb;13.12.2004;19.01.2021;Wind;2000;2000;17390;Ziethen;WPB Windpark Klein Bünzow GmbH & Co.KG;ABR991883532491;18.03.2021
SEE908191700955;NTK500 (96548);In Betrieb;29.05.1996;19.01.2021;Wind;500;500;17495;Karlsburg;WINDKRAFT Scheer & Partner OHG;ABR999257272387;15.02.2021
SEE914684124269;Klein Bünzow 2;In Betrieb;14.12.2004;19.01.2021;Wind;2000;2000;17390;Ziethen;WPB Windpark Klein Bünzow GmbH & Co.KG;ABR991883532491;19.01.2021
SEE974348503335;Klein Bünzow 3;In Betrieb;07.01.2009;19.01.2021;Wind;2000;2000;17390;Ziethen;WPB Windpark Klein Bünzow GmbH & Co.KG;ABR991883532491;30.12.2024
SEE908386601487;NTK 300 (93-304);In Betrieb;19.04.1993;19.01.2021;Wind;300;300;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;08.06.2021
SEE979652780663;NTK 300 (93-305);In Betrieb;19.04.1993;19.01.2021;Wind;300;300;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;08.06.2021
SEE977600460315;NTK 300 (93-306);In Betrieb;19.04.1993;19.01.2021;Wind;300;300;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;08.06.2021
SEE903120145883;NTK 300 (93-307);In Betrieb;19.04.1993;19.01.2021;Wind;300;300;18573;Altefähr;Windprojekt Entwicklung und Betrieb Erich Preißler;ABR938153874158;08.06.2021
SEE976287132546;Anlage 1;Endgültig stillgelegt;19.01.1995;19.01.2021;Wind;450;450;18314;Kenz-Küstrow;(natürliche Person);;01.12.2022
SEE964563006001;Anlage 2;Endgültig stillgelegt;19.01.1995;19.01.2021;Wind;450;450;18314;Kenz-Küstrow;(natürliche Person);;01.12.2022
SEE994449577578;Anlage 3;Endgültig stillgelegt;19.01.1995;19.01.2021;Wind;450;450;18314;Kenz-Küstrow;(natürliche Person);;01.12.2022
SEE959121035821;Anlage 4;Endgültig stillgelegt;19.01.1995;19.01.2021;Wind;450;450;18314;Kenz-Küstrow;(natürliche Person);;01.12.2022
SEE988020606474;WP Frankenthal WEA 01-1113;In Betrieb;07.09.1999;18.01.2021;Wind;600;600;18573;Samtens;Windpark Frankenthal GmbH & Co. KG;ABR952528858710;07.12.2021
SEE984665644895;NTK 500 (94563);In Betrieb;29.12.1994;18.01.2021;Wind;500;500;17509;Wusterhusen;Windkraft Köpnick & Partner oHG;ABR906556507195;22.02.2021
SEE986227985002;NTK 500 (94564);In Betrieb;29.12.1994;18.01.2021;Wind;500;500;17509;Wusterhusen;Windkraft Köpnick & Partner oHG;ABR906556507195;19.04.2021
SEE905868451820;WP Frankenthal WEA 02-1114;In Betrieb;07.09.1999;18.01.2021;Wind;600;600;18528;Bergen;Windpark Frankenthal GmbH & Co. KG;ABR952528858710;17.08.2021
SEE971991285090;WP Frankenthal WEA 03-1115;In Betrieb;07.09.1999;18.01.2021;Wind;600;600;18528;Bergen;Windpark Frankenthal GmbH & Co. KG;ABR952528858710;05.07.2021
SEE919600624496;WP Frankenthal WEA 04-1116;In Betrieb;07.09.1999;18.01.2021;Wind;600;600;18528;Bergen;Windpark Frankenthal GmbH & Co. KG;ABR952528858710;12.08.2021
SEE911615933655;Windkraft Purkshof;In Betrieb;08.12.1994;17.01.2021;Wind;500;500;18182;Mönchhagen;Sylvia und Torsten Maaß GbR;ABR994851288314;25.02.2021
SEE927118770772;WEA;In Betrieb;15.09.2015;17.01.2021;Wind;2300;2300;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;19.07.2021
SEE928237296488;WEA;In Betrieb;27.09.2002;17.01.2021;Wind;1800;1800;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;21.06.2021
SEE981021123971;WEA;In Betrieb;11.09.2002;17.01.2021;Wind;1800;1800;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;15.07.2021
SEE969596833235;WEA;In Betrieb;19.09.2002;17.01.2021;Wind;1800;1800;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;15.07.2021
SEE968798077447;WEA;In Betrieb;24.09.2002;17.01.2021;Wind;1800;1800;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;15.07.2021
SEE965185632579;WEA;In Betrieb;10.09.2002;17.01.2021;Wind;1800;1800;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;19.07.2021
SEE957036017932;WEA;In Betrieb;12.09.2002;17.01.2021;Wind;1800;1800;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;15.07.2021
SEE927461706589;WEA;In Betrieb;26.09.2002;17.01.2021;Wind;1800;1800;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;15.07.2021
SEE933823464158;WEA;In Betrieb;25.09.2002;17.01.2021;Wind;1800;1800;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;15.07.2021
SEE969123363334;WEA;In Betrieb;15.09.2015;17.01.2021;Wind;2300;2300;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;09.11.2023
SEE975938376285;WEA;In Betrieb;17.12.2014;17.01.2021;Wind;2300;2300;23968;Gägelow;RNE ReinNordEnergie;ABR983746094338;21.12.2024
SEE966204773952;Windfeld;In Betrieb;20.06.2015;15.01.2021;Wind;3050;3050;18465;Tribsees;SGW Sindram Grundstücks-und Windkraft;ABR923546750300;28.11.2024
SEE917768131078;Windfeld;In Betrieb;13.07.2015;15.01.2021;Wind;3050;3050;18465;Tribsees;SGW Sindram Grundstücks-und Windkraft;ABR923546750300;28.11.2024
SEE912534379371;Windfeld;In Betrieb;27.05.2015;15.01.2021;Wind;3050;3050;18465;Tribsees;SGW Sindram Grundstücks-und Windkraft;ABR923546750300;28.11.2024
SEE991702587381;Windfeld;In Betrieb;27.05.2015;15.01.2021;Wind;3050;3050;18465;Tribsees;SGW Sindram Grundstücks-und Windkraft;ABR923546750300;28.11.2024
SEE903100708596;WEA Zölkow16;In Betrieb;04.12.2006;14.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;10.12.2024
SEE931172676901;WEA Zölkow17;In Betrieb;28.12.2006;14.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;10.12.2024
SEE928095818471;WEA Zölkow18;In Betrieb;04.12.2006;14.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;10.12.2024
SEE926360789600;WEA Zölkow19;In Betrieb;22.12.2006;14.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;14.03.2025
SEE980334544398;WEA Zölkow20;In Betrieb;23.03.2007;14.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;10.12.2024
SEE947468269016;Cap Arkona Wind KG;In Betrieb;17.12.2008;13.01.2021;Wind;300;300;18556;Altenkirchen;Cap Arkona Wind KG (GmbH & Co.);ABR915617534971;27.02.2021
SEE931952025042;Windrad;In Betrieb;20.12.1995;13.01.2021;Wind;300;300;18442;Wendorf;Fleischerei Zahlmann GmbH & Co.KG;ABR960027590895;21.06.2021
SEE913602408931;WEA Zölkow14;In Betrieb;07.12.2006;13.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;14.03.2025
SEE956950390442;WEA Zölkow15;In Betrieb;29.12.2006;13.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;10.12.2024
SEE930355624449;Cap Arkona Wind KG;In Betrieb;17.12.2008;13.01.2021;Wind;300;300;18556;Altenkirchen;Cap Arkona Wind KG (GmbH & Co.);ABR915617534971;27.02.2021
SEE909433409964;Cap Arkona Wind KG;In Betrieb;19.12.2008;13.01.2021;Wind;300;300;18556;Altenkirchen;Cap Arkona Wind KG (GmbH & Co.);ABR915617534971;27.02.2021
SEE936265510650;JeKa Wind Bernstorf;In Betrieb;24.04.2014;12.01.2021;Wind;2300;2300;23936;Grevesmühlen;Jeka Wind GmbH;ABR998372768119;27.07.2022
SEE974840313869;Groß Bisdorf 1;In Betrieb;07.12.2012;12.01.2021;Wind;3075;3075;18516;Süderholz;Infrastrukturgemeinschaft Groß Bisdorf GbR;ABR958139441334;30.12.2024
SEE942537875624;Groß Bisdorf 2;In Betrieb;07.12.2012;12.01.2021;Wind;3075;3075;18516;Süderholz;Infrastrukturgemeinschaft Groß Bisdorf GbR;ABR958139441334;30.12.2024
SEE939301840117;Groß Bisdorf 3;In Betrieb;21.12.2012;12.01.2021;Wind;3075;3075;18516;Süderholz;Investinvent 22. Windpark GmbH & Co. KG;ABR995830378668;30.12.2024
SEE989443607079;Groß Bisdorf 4;In Betrieb;07.12.2012;12.01.2021;Wind;3075;3075;18516;Süderholz;Investinvent 22. Windpark GmbH & Co. KG;ABR995830378668;30.12.2024
SEE924699089293;Groß Bisdorf 5;In Betrieb;12.12.2012;12.01.2021;Wind;3075;3075;18516;Süderholz;Infrastrukturgemeinschaft Groß Bisdorf GbR;ABR958139441334;30.12.2024
SEE965179612051;WEA 1;In Betrieb;20.12.2004;12.01.2021;Wind;1500;1500;18519;Sundhagen;Naturenergi 6 ApS & Co. KG (mbH);ABR960764079905;05.12.2024
SEE943946894237;Groß Bisdorf 6;In Betrieb;07.12.2012;12.01.2021;Wind;3075;3075;18516;Süderholz;Infrastrukturgemeinschaft Groß Bisdorf GbR;ABR958139441334;30.12.2024
SEE953846089145;Groß Bisdorf 7;In Betrieb;07.12.2012;12.01.2021;Wind;3075;3075;18516;Süderholz;Infrastrukturgemeinschaft Groß Bisdorf GbR;ABR958139441334;30.12.2024
SEE936378852821;WEA;In Betrieb;01.06.1995;11.01.2021;Wind;150;150;17438;Wolgast;Zweckverband Wasserversorgung und Abwasserbeseitigung - Festland Wolgast;ABR964011832350;23.02.2021
SEE908591338598;V17806;In Betrieb;06.11.2003;11.01.2021;Wind;660;660;18190;Sanitz;(natürliche Person);ABR913491257993;04.07.2022
SEE922163759024;Buchhof;In Betrieb;05.08.1997;10.01.2021;Wind;500;500;17039;Trollenhagen;Beckmann Energie;ABR903884214665;16.09.2025
SEE937875177820;WEA P+M Windspirit GmbH;In Betrieb;15.12.2009;08.01.2021;Wind;2300;2300;19386;Gischow;P+M Windspirit GmbH;ABR955970587641;08.01.2021
SEE915096131319;WEA Fam. Müller GbR;In Betrieb;22.12.2009;08.01.2021;Wind;2300;2300;19386;Gischow;Familie Müller GbR;ABR974438020933;08.01.2021
SEE927051475659;WEA Bay10 Beteiligungs GmbH & Co. KG;In Betrieb;16.12.2011;08.01.2021;Wind;2300;2300;19386;Gischow;Bay10 Beteiligungs GmbH & Co. KG;ABR926840885693;08.01.2021
SEE923982362440;WEA Zölkow05;In Betrieb;27.02.2007;07.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;10.12.2024
SEE980931033783;N60 -1129;In Betrieb;23.12.1999;07.01.2021;Wind;1300;1300;17098;Friedland;Windpark Dr. Beel KG;ABR928506169833;22.09.2022
SEE960443006772;Triton 4;In Betrieb;20.12.2001;07.01.2021;Wind;900;900;19386;Lübz;Triton Wind GmbH & CO. KG;ABR917248788587;03.01.2024
SEE976477798545;N60-1130;In Betrieb;23.12.1999;07.01.2021;Wind;1300;1300;17098;Friedland;Windpark Dr. Beel KG;ABR928506169833;22.09.2022
SEE921896204115;WEA Zölkow06;In Betrieb;20.03.2007;07.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;14.03.2025
SEE985104784882;N60-1136;In Betrieb;23.12.1999;07.01.2021;Wind;1300;1300;17098;Friedland;Windpark Dr. Beel KG;ABR928506169833;10.10.2022
SEE967292023523;WEA Zölkow07;In Betrieb;01.03.2007;07.01.2021;Wind;2000;2000;19374;Hof Grabow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;10.12.2024
SEE997623077536;WEA Zölkow08;In Betrieb;17.11.2006;07.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;10.12.2024
SEE981436165788;WEA Zölkow09;In Betrieb;30.03.2007;07.01.2021;Wind;2000;2000;19374;Hof Grabow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;14.03.2025
SEE981066383354;WEA Zölkow10;In Betrieb;28.03.2007;07.01.2021;Wind;2000;2000;19374;Zölkow;Windpark Zölkow GmbH & Co. KG;ABR930240249832;14.03.2025
