MaStR-Nr. der Einheit;Anzeige-Name der Einheit;Betriebs-Status;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Energieträger;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Postleitzahl;Ort;Name des Anlagenbetreibers (nur Org.);"	MaStR-Nr. des Anlagenbetreibers";Letzte Aktualisierung
SEE973137805520;Windmüllerei TWH;In Betrieb;22.09.2017;28.04.2020;Wind;2400;2400;18320;Trinwillershagen;Windmüllerei Trinwillershagen GmbH & Co. KG;ABR954760287020;03.02.2025
SEE923510475758;E 1011291-18;In Betrieb;28.12.2015;28.04.2020;Wind;3050;3050;17349;Kublank;Windpark Kublank III GmbH & Co. KG;ABR900750916333;24.02.2025
SEE916534322276;E 783019-01;In Betrieb;10.08.2011;26.04.2020;Wind;2300;2300;17392;Sarnow;Windpark Panschow GmbH & Co. KG;ABR955788991432;16.12.2024
SEE908945142703;V 42879-03;In Betrieb;26.01.2012;26.04.2020;Wind;2000;2000;17392;Sarnow;Windpark Panschow GmbH & Co. KG;ABR955788991432;15.01.2025
SEE934932377346;V 41263-04;In Betrieb;16.02.2012;26.04.2020;Wind;2000;2000;17392;Sarnow;Windpark Panschow GmbH & Co. KG;ABR955788991432;02.12.2024
SEE968361729773;V 44771-05;In Betrieb;23.01.2012;26.04.2020;Wind;2000;2000;17392;Sarnow;Windpark Panschow GmbH & Co. KG;ABR955788991432;20.01.2025
SEE927515562154;WEA 2;In Betrieb;23.04.2020;24.04.2020;Wind;3600;3600;19230;Hoort;Windpark Hoort 1 GmbH & Co. Betriebs-KG;ABR937496028297;18.06.2021
SEE999873743834;EN-01-781266;In Betrieb;08.12.2006;23.04.2020;Wind;2300;2300;18239;Satow;ENOVA Windpark Radegast GmbH & Co. KG;ABR901806785613;17.01.2025
SEE957421318194;N1 Nadrenseeer Weg 1;In Betrieb;01.03.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE923563825203;N2 Nadrenseeer Weg 2;In Betrieb;15.02.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE901956272421;P1 Pomellener Weg 1;In Betrieb;23.03.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE928924871509;P2 Pomellener Weg 2;In Betrieb;21.01.2009;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE965571314386;P3 Pomellener Weg 3;In Betrieb;07.03.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE927482200776;P4 Pomellener Weg 4;In Betrieb;16.02.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE938213172774;P5 Pomellener Weg 5;In Betrieb;02.04.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE933795857118;P6 Pomellener Weg 6;In Betrieb;03.02.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE939903534513;P7 Pomellener Weg 7;In Betrieb;08.02.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE901500445653;P8 Pomellener Weg 8;In Betrieb;03.02.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE971295126075;R1 Rosower Weg 1;In Betrieb;18.03.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE993814875363;R2 Rosower Weg 2;In Betrieb;03.03.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE978120086788;R3 Rosower Weg 3;In Betrieb;01.03.2005;21.04.2020;Wind;2000;2000;17329;Nadrensee;ENERTRAG Windfeld Nadrensee GmbH & Co. KG;ABR989612936504;09.12.2024
SEE913626459247;Windkraft;In Betrieb;25.04.2014;20.04.2020;Wind;2300;2300;18246;Langen Trechow;Windpark Langen Trechow GmbH & Co. KG;ABR931300894528;24.02.2021
SEE996476320738;Windkraft;In Betrieb;10.10.1995;20.04.2020;Wind;500;500;18246;Langen Trechow;Windpark Langen Trechow GmbH & Co. KG;ABR931300894528;24.02.2021
SEE911089697244;Windkraft;In Betrieb;30.12.1994;20.04.2020;Wind;500;500;18276;Gutow;Projekt Windmüller Drgala GmbH;ABR942592096026;22.01.2021
SEE914505049627;Windkraft;In Betrieb;28.12.1994;20.04.2020;Wind;500;500;18276;Gutow;Projekt Windmüller Drgala GmbH;ABR942592096026;22.01.2021
SEE931668600328;Windkraft;In Betrieb;24.04.2014;16.04.2020;Wind;2300;2300;18246;Langen Trechow;Windpark Langen Trechow GmbH & Co. KG;ABR931300894528;27.04.2021
SEE908976270994;WP Hoort 3 - WEA15;In Betrieb;08.04.2020;15.04.2020;Wind;3600;3600;19230;Hoort;Windpark Hoort 3 GmbH;ABR971221396275;28.01.2025
SEE920929284469;E 824892-05;In Betrieb;06.03.2013;15.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;24.01.2025
SEE910707945798;E 824893-06;In Betrieb;15.03.2013;15.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;24.01.2025
SEE984881148740;E 824890-03;In Betrieb;20.12.2012;15.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;24.01.2025
SEE963259655851;E 824891-04;In Betrieb;20.12.2012;15.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;24.01.2025
SEE915490678854;E 824894-07;In Betrieb;21.12.2012;15.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;24.01.2025
SEE916843845930;E 824895-08;In Betrieb;29.01.2013;15.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;24.01.2025
SEE939685151946;E 824889-02;In Betrieb;21.03.2013;15.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;24.01.2025
SEE962361339505;E 824896-09;In Betrieb;11.04.2013;15.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;24.01.2025
SEE993566106142;WEA Richtenberg 40518;In Betrieb;24.04.1996;14.04.2020;Wind;500;500;18461;Richtenberg;WP Richtenberg GmbH & Co. KG;ABR956009344556;25.03.2024
SEE977626375815;WEA Richtenberg 40519;In Betrieb;25.04.1996;14.04.2020;Wind;500;500;18461;Richtenberg;WP Richtenberg GmbH & Co. KG;ABR956009344556;25.03.2024
SEE932941758279;WEA Richtenberg 40520;In Betrieb;24.04.1996;14.04.2020;Wind;500;500;18461;Richtenberg;WP Richtenberg GmbH & Co. KG;ABR956009344556;25.03.2024
SEE913411965847;E 824897-01;In Betrieb;05.02.2013;14.04.2020;Wind;2300;2300;17111;Beggerow;Windpark Beggerow-Borrentin GmbH & Co. KG;ABR960096800888;17.10.2024
SEE976215545585;E 824898-02;In Betrieb;19.02.2013;14.04.2020;Wind;2300;2300;17111;Beggerow;Windpark Beggerow-Borrentin GmbH & Co. KG;ABR960096800888;18.10.2024
SEE960402036734;E 824899-03;In Betrieb;10.02.2013;14.04.2020;Wind;2300;2300;17111;Beggerow;Windpark Beggerow-Borrentin GmbH & Co. KG;ABR960096800888;19.11.2024
SEE952692288498;E 824901-05;In Betrieb;04.12.2012;14.04.2020;Wind;2300;2300;17111;Beggerow;Windpark Beggerow-Borrentin GmbH & Co. KG;ABR960096800888;30.12.2024
SEE926496151159;E 1010192-06;In Betrieb;30.04.2013;14.04.2020;Wind;3050;3050;17111;Beggerow;Windpark Beggerow-Borrentin GmbH & Co. KG;ABR960096800888;13.01.2025
SEE921175027886;E 1010191-08;In Betrieb;03.05.2013;14.04.2020;Wind;3050;3050;17111;Beggerow;Windpark Beggerow-Borrentin GmbH & Co. KG;ABR960096800888;23.01.2025
SEE989250496118;E 824902-09;In Betrieb;03.12.2012;14.04.2020;Wind;2300;2300;17111;Beggerow;Windpark Beggerow-Borrentin GmbH & Co. KG;ABR960096800888;20.01.2025
SEE982923388208;E 824903-10;In Betrieb;07.12.2012;14.04.2020;Wind;2300;2300;17111;Beggerow;Windpark Beggerow-Borrentin GmbH & Co. KG;ABR960096800888;10.01.2025
SEE991391435734;WEA 06;In Betrieb;07.12.2012;09.04.2020;Wind;2000;2000;17398;Neu Kosenow;Märkische Windkraft 74 GmbH & Co. KG;ABR996650992263;25.03.2025
SEE992465975446;WEA 11;In Betrieb;24.01.2012;09.04.2020;Wind;2000;2000;17398;Neu Kosenow;Märkische Windkraft 74 GmbH & Co. KG;ABR996650992263;07.04.2025
SEE913546256513;WEA 10;In Betrieb;04.12.2012;09.04.2020;Wind;2000;2000;17398;Neu Kosenow;Märkische Windkraft 74 GmbH & Co. KG;ABR996650992263;20.02.2025
SEE986675062485;E 826035-10;In Betrieb;05.12.2014;09.04.2020;Wind;2300;2300;17349;Kublank;Windpark Kublank GmbH & Co. KG;ABR998919192087;04.03.2025
